S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
554,5/16/2017,55,7225,3308817,465,455,456
555,5/15/2017,48,10542,4873562,471,460,465
556,5/11/2017,76,12423,5755865,466,461,464
557,5/9/2017,69,21081,9605186,461,452,457
558,5/8/2017,74,16791,7593535,465,446,460
559,5/7/2017,57,5619,2567369,464,453,454
560,5/4/2017,68,10579,4862372,478,454,460
561,5/3/2017,69,13689,6359865,478,457,461
562,5/2/2017,99,22562,10244556,468,445,461
563,4/30/2017,97,18728,8571257,470,454,459
564,4/27/2017,71,15743,7381184,475,463,466
565,4/26/2017,53,9098,4257990,472,465,467
566,4/25/2017,100,17195,8041381,472,464,469
567,4/24/2017,116,23133,10859181,474,466,469
568,4/23/2017,147,45549,21857591,511,472,472
569,4/20/2017,139,32994,15564848,483,463,465
570,4/19/2017,96,15551,7173984,469,453,463
571,4/18/2017,121,26897,12146144,460,443,450
572,4/16/2017,90,14433,6817342,481,457,460
573,4/13/2017,130,25576,12157715,482,468,472
574,4/12/2017,167,43976,21570036,500,480,480
575,4/11/2017,125,29427,14275730,494,470,489
576,4/10/2017,109,24705,11622539,485,467,471
577,4/9/2017,130,26361,12443931,485,470,472
578,4/6/2017,163,42085,20121788,495,474,482
579,4/4/2017,165,38622,19049502,508,480,495
580,4/3/2017,334,86048,43752580,525,487,504
581,3/30/2017,695,151987,86067068,577,555,574
582,3/29/2017,535,122754,70858145,615,550,565
583,3/28/2017,275,63335,37423649,606,573,595
584,3/26/2017,330,86224,47708756,562,512,562
585,3/23/2017,238,42052,21317008,514,493,511
586,3/22/2017,207,46018,23059369,515,485,492
587,3/21/2017,126,26819,12587312,484,460,484
588,3/20/2017,88,16216,7455757,465,455,461
589,3/19/2017,67,10196,4592620,454,445,451
590,3/16/2017,49,9046,4012644,452,441,445
591,3/15/2017,36,3091,1376749,449,443,448
592,3/14/2017,67,9273,4113210,450,440,441
593,3/13/2017,34,5870,2600359,450,440,440
594,3/9/2017,37,3547,1583560,452,444,445
595,3/7/2017,48,5596,2467237,443,439,439
596,3/6/2017,75,9615,4316175,456,446,449
597,3/5/2017,79,12347,5458931,448,432,443
598,3/2/2017,57,5828,2521303,435,425,435
599,3/1/2017,55,5008,2135041,430,421,430
600,2/28/2017,91,16732,7032221,426,417,421
601,2/26/2017,40,6391,2788327,445,430,434
602,2/23/2017,69,14367,6260776,442,427,440
603,2/22/2017,102,22813,9908821,442,430,434
604,2/21/2017,98,18863,8376472,465,437,439
605,2/20/2017,98,17150,7643190,455,440,440
606,2/19/2017,118,23260,10365716,452,441,445
607,2/16/2017,98,16259,7356534,460,450,453
608,2/15/2017,47,12899,5819825,456,442,453
609,2/14/2017,82,13085,5708474,447,424,437
610,2/13/2017,58,11039,4662838,443,413,440
611,2/12/2017,75,11551,4886512,453,416,429
612,2/9/2017,78,12428,5537810,453,440,445
613,2/8/2017,77,9700,4386164,460,448,450
614,2/7/2017,35,4245,1938381,463,451,455
615,2/6/2017,47,5122,2362049,468,455,455
616,2/5/2017,27,3121,1489850,492,470,470
617,2/2/2017,94,15620,7632898,500,480,483
618,2/1/2017,60,9886,4711204,485,465,483
619,1/31/2017,37,11409,5152834,464,435,458
620,1/30/2017,69,12799,5774559,465,442,442
621,1/26/2017,159,33136,15482268,490,455,460
622,1/25/2017,148,25727,12653108,505,480,490
623,1/24/2017,40,7839,4008784,530,500,508
624,1/23/2017,28,2679,1395359,524,520,520
625,1/22/2017,32,2773,1466139,531,526,526
626,1/19/2017,22,1913,1002025,529,521,528
627,1/18/2017,21,3386,1783070,530,520,520
628,1/17/2017,24,3270,1719022,529,523,523
629,1/16/2017,25,2058,1091490,536,527,527
630,1/15/2017,21,2339,1253888,542,530,534
631,1/12/2017,30,5428,2925146,546,531,542
632,1/11/2017,32,8359,4558612,550,540,540
633,1/10/2017,41,4148,2249676,550,540,540
634,1/9/2017,35,5545,2947042,540,521,540
635,1/8/2017,26,5593,2926079,529,520,524
636,1/5/2017,37,8287,4378949,533,520,528
637,1/4/2017,39,6130,3225775,535,510,530
638,1/3/2017,78,8202,4415197,550,530,530
